Método das Secantes:
No intervalo [-1, 0]
	k	     xk		   f(xk)	   erro
	0	-1	-16	0.42264973081037427
	1	-0.15789473684210525	2.9945490870922367	0.4194555323475205
	2	-0.29065522172977665	2.6642073984192822	0.2866950474598491
	3	-1.3613692072287056	-56.74623418234894	0.7840189380390798
	4	-0.3386704198305876	2.4410289418455093	0.23867984935903813
	5	-0.3808490442010162	2.1867094604416275	0.19650122498860956
	6	-0.7435125587304312	-3.8274481236669384	0.16616228954080547
	7	-0.51271119232197	0.9377119020446294	0.06463907686765569
	8	-0.5581294337076955	0.3055383520660375	0.01922083548193021
	9	-0.5800807074160024	-0.045363694912099906	0.0027304382263766414
	10	-0.5772429044108303	0.0017736129955276958	0.00010736477879547124
	11	-0.5773496810705959	0.0017736129955276958	5.881190298095973e-07
